Leystone Fragment|266~782
Wyldshrine Amulet of the Zephyr|1735~1739
Wyldgrove Bracelet of the Sun|1735~1738
Wyldgrove Bracelet of the Zephyr|1735~1738
Wyldgrove Bracelet of the Mountain|1735~1738
Wyldgrove Bracelet of the River|1735~1738
Wyldshrine Bracelet of the Sun|1735~1738
Wyldshrine Bracelet of the Zephyr|1735~1738
Wyldshrine Bracelet of the Mountain|1735~1738
Wyldshrine Bracelet of the River|1735~1738
Wyldgrove Ring of the Mountain|1735~1737
Wyldgrove Ring of the Sun|1735~1737
Wyldgrove Ring of the River|1735~1737
Wyldgrove Ring of the Zephyr|1735~1737
Wyldshrine Ring of the Mountain|1735~1737
Wyldshrine Ring of the Sun|1735~1737
Wyldshrine Ring of the River|1735~1737
Wyldshrine Ring of the Zephyr|1735~1737
5 Heroic Combination Elixirs|1231~1309~1457~1482~1586~1589~1749~1848~1868~1873~1885~1935~1978~2016~2029~2035~2058~2069~2073
Super Energy Potion|1231~1307
Dark Heart|1277
Gelebron's Parchment|1278
Soul Casing|1279
Standard Bounty Bag|1306
Elite Bounty Bag|1353
Beltane Bounty Bag|1354
Superior Beltane Bounty Bag|1367
Samhain Bounty Bag|1459
Superior Samhain Bounty Bag|1460
Yule Bounty Bag|1495
Superior Yule Bounty Bag|1496
Super Energy Potion Crate|1309~1457~1482~1586~1589~1749~1848~1868~1873~1885~1935~1978~2016~2029~2035~2058~2069~2073
White Sanghal Strides|1310~1869
Black Sanghal Strides|1310~1869
Red Sanghal Strides|1310~1869
Blue Sanghal Strides|1310~1869
Green Sanghal Strides|1310~1869
Yellow Sanghal Strides|1310~1869
Orange Sanghal Strides|1310~1869
Pink Sanghal Strides|1310~1869
Purple Sanghal Strides|1310~1869
White Sanghal Gloves|1310~1869
Black Sanghal Gloves|1310~1869
Red Sanghal Gloves|1310~1869
Blue Sanghal Gloves|1310~1869
Green Sanghal Gloves|1310~1869
Yellow Sanghal Gloves|1310~1869
Orange Sanghal Gloves|1310~1869
Pink Sanghal Gloves|1310~1869
Purple Sanghal Gloves|1310~1869
White Sanghal Leggings|1310~1869
Black Sanghal Leggings|1310~1869
Red Sanghal Leggings|1310~1869
Blue Sanghal Leggings|1310~1869
Green Sanghal Leggings|1310~1869
Yellow Sanghal Leggings|1310~1869
Orange Sanghal Leggings|1310~1869
Pink Sanghal Leggings|1310~1869
Purple Sanghal Leggings|1310~1869
White Sanghal Top|1310~1869
Black Sanghal Top|1310~1869
Red Sanghal Top|1310~1869
Blue Sanghal Top|1310~1869
Green Sanghal Top|1310~1869
Yellow Sanghal Top|1310~1869
Orange Sanghal Top|1310~1869
Pink Sanghal Top|1310~1869
Purple Sanghal Top|1310~1869
Turquoise Sanghal Strides|1310~1869
Turquoise Sanghal Gloves|1310~1869
Turquoise Sanghal Leggings|1310~1869
Turquoise Sanghal Top|1310~1869
White Sanghal Wig|1310~1869
Black Sanghal Wig|1310~1869
Red Sanghal Wig|1310~1869
Blue Sanghal Wig|1310~1869
Green Sanghal Wig|1310~1869
Yellow Sanghal Wig|1310~1869
Orange Sanghal Wig|1310~1869
Pink Sanghal Wig|1310~1869
Purple Sanghal Wig|1310~1869
Turquoise Sanghal Wig|1310~1869
Glistening White Sanghal Strides|1310~1869
Glistening Black Sanghal Strides|1310~1869
Glistening Red Sanghal Strides|1310~1869
Glistening Blue Sanghal Strides|1310~1869
Glistening Green Sanghal Strides|1310~1869
Glistening Yellow Sanghal Strides|1310~1869
Glistening Orange Sanghal Strides|1310~1869
Glistening Pink Sanghal Strides|1310~1869
Glistening Purple Sanghal Strides|1310~1869
Glistening White Sanghal Gloves|1310~1869
Glistening Black Sanghal Gloves|1310~1869
Glistening Red Sanghal Gloves|1310~1869
Glistening Blue Sanghal Gloves|1310~1869
Glistening Green Sanghal Gloves|1310~1869
Glistening Yellow Sanghal Gloves|1310~1869
Glistening Orange Sanghal Gloves|1310~1869
Glistening Pink Sanghal Gloves|1310~1869
Glistening Purple Sanghal Gloves|1310~1869
Glistening White Sanghal Leggings|1310~1869
Glistening Black Sanghal Leggings|1310~1869
Glistening Red Sanghal Leggings|1310~1869
Glistening Blue Sanghal Leggings|1310~1869
Glistening Green Sanghal Leggings|1310~1869
Glistening Yellow Sanghal Leggings|1310~1869
Glistening Orange Sanghal Leggings|1310~1869
Glistening Pink Sanghal Leggings|1310~1869
Glistening Purple Sanghal Leggings|1310~1869
Glistening White Sanghal Top|1310~1869
Glistening Black Sanghal Top|1310~1869
Glistening Red Sanghal Top|1310~1869
Glistening Blue Sanghal Top|1310~1869
Glistening Green Sanghal Top|1310~1869
Glistening Yellow Sanghal Top|1310~1869
Glistening Orange Sanghal Top|1310~1869
Glistening Pink Sanghal Top|1310~1869
Glistening Purple Sanghal Top|1310~1869
Glistening Turquoise Sanghal Strides|1310~1869
Glistening Turquoise Sanghal Gloves|1310~1869
Glistening Turquoise Sanghal Leggings|1310~1869
Glistening Turquoise Sanghal Top|1310~1869
Glistening White Sanghal Wig|1310~1869
Glistening Black Sanghal Wig|1310~1869
Glistening Red Sanghal Wig|1310~1869
Glistening Blue Sanghal Wig|1310~1869
Glistening Green Sanghal Wig|1310~1869
Glistening Yellow Sanghal Wig|1310~1869
Glistening Orange Sanghal Wig|1310~1869
Glistening Pink Sanghal Wig|1310~1869
Glistening Purple Sanghal Wig|1310~1869
Glistening Turquoise Sanghal Wig|1310~1869
Beacon of Destiny|1292
Chipping Sparrow|1310
Tree Sparrow|1310
Fox Sparrow|1310
Black-Throated Sparrow|1310
Song Sparrow|1310
Capped Crow|1293~1294
Veiled Crow|1293~1294
Hooded Crow|1293~1294
Carrion Crow|1293~1294
Executioners Crow|1293~1294
Tawny Sparrowhawk|1310
Flametipped Sparrowhawk|1310
Bloodcrest Sparrowhawk|1310
Darkclaw Sparrowhawk|1310
Deathshead Sparrowhawk|1310
White Sage's Visage of Joy|1331
Black Sage's Visage of Joy|1330
Red Sage's Visage of Joy|1322
Blue Sage's Visage of Joy|1328
Green Sage's Visage of Joy|1326
Yellow Sage's Visage of Joy|1325
Orange Sage's Visage of Joy|1324
Pink Sage's Visage of Joy|1323
Purple Sage's Visage of Joy|1329
Turquoise Sage's Visage of Joy|1327
White Glistening Sage's Visage of Joy|1331
Black Glistening Sage's Visage of Joy|1330
Red Glistening Sage's Visage of Joy|1322
Blue Glistening Sage's Visage of Joy|1328
Green Glistening Sage's Visage of Joy|1326
Yellow Glistening Sage's Visage of Joy|1325
Orange Glistening Sage's Visage of Joy|1324
Pink Glistening Sage's Visage of Joy|1323
Purple Glistening Sage's Visage of Joy|1329
Turquoise Glistening Sage's Visage of Joy|1327
White Sage's Visage of Rage|1331
Black Sage's Visage of Rage|1330
Red Sage's Visage of Rage|1322
Blue Sage's Visage of Rage|1328
Green Sage's Visage of Rage|1326
Yellow Sage's Visage of Rage|1325
Orange Sage's Visage of Rage|1324
Pink Sage's Visage of Rage|1323
Purple Sage's Visage of Rage|1329
Turquoise Sage's Visage of Rage|1327
White Glistening Sage's Visage of Rage|1331
Black Glistening Sage's Visage of Rage|1330
Red Glistening Sage's Visage of Rage|1322
Blue Glistening Sage's Visage of Rage|1328
Green Glistening Sage's Visage of Rage|1326
Yellow Glistening Sage's Visage of Rage|1325
Orange Glistening Sage's Visage of Rage|1324
Pink Glistening Sage's Visage of Rage|1323
Purple Glistening Sage's Visage of Rage|1329
Turquoise Glistening Sage's Visage of Rage|1327
Ancient Tome of Wisdom|1334
Ancient Tome of Insight|1335
Ancient Tome of Mystery|1336
Sage's Shillelagh|1332
Minor Shillelagh of Brath|1333
Lesser Shillelagh of Brath|1333
Mystic Shillelagh of Brath|1333
Greater Shillelagh of Brath|1333
Grand Shillelagh of Brath|1333
Mighty Shillelagh of Brath|1333
Majestic Shillelagh of Brath|1333
Royal Shillelagh of Brath|1333
Imperial Shillelagh of Brath|1333
Godly Shillelagh of Brath|1333
Glistening Minor Shillelagh of Brath|1333
Glistening Lesser Shillelagh of Brath|1333
Glistening Mystic Shillelagh of Brath|1333
Glistening Greater Shillelagh of Brath|1333
Glistening Grand Shillelagh of Brath|1333
Glistening Mighty Shillelagh of Brath|1333
Glistening Majestic Shillelagh of Brath|1333
Glistening Royal Shillelagh of Brath|1333
Glistening Imperial Shillelagh of Brath|1333
Glistening Godly Shillelagh of Brath|1333
Red Bounty Helm|1285
Pink Bounty Helm|1285
Orange Bounty Helm|1285
Yellow Bounty Helm|1285
Green Bounty Helm|1285
Turquoise Bounty Helm|1285
Blue Bounty Helm|1285
Purple Bounty Helm|1285
Black Bounty Helm|1285
White Bounty Helm|1285
Relic Shard|1337~1338~1373~1374~1375
Ancient Relic Spirit Cape|1310~1869
Fabled Relic Spirit Cape|1310~1869
Primal Relic Spirit Cape|1310~1869
Legendary Relic Spirit Cape|1310~1869
Mythic Relic Spirit Cape|1310~1869
Ancient Spirit Glider|1310~1869
Fabled Spirit Glider|1310~1869
Primal Spirit Glider|1310~1869
Legendary Spirit Glider|1310~1869
Mythic Spirit Glider|1310~1869
Mallach's Bloodthorn Necklace|1341
Mallach's Bladeleaf Necklace|1341
Mallach's Frostroot Necklace|1341
Mallach's Stormleaf Necklace|1341
Mallach's Ironroot Necklace|1341
Mallach's Stonebark Necklace|1341
Mallach's Shrivewood Necklace|1341
Mallach's Spiritseed Necklace|1341
Cronach's Bloodthorn Necklace|1344
Cronach's Bladeleaf Necklace|1344
Cronach's Frostroot Necklace|1344
Cronach's Stormleaf Necklace|1344
Cronach's Ironroot Necklace|1344
Cronach's Stonebark Necklace|1344
Cronach's Shrivewood Necklace|1344
Cronach's Spiritseed Necklace|1344
Jalan's Bloodthorn Necklace|1347
Jalan's Bladeleaf Necklace|1347
Jalan's Frostroot Necklace|1347
Jalan's Stormleaf Necklace|1347
Jalan's Ironroot Necklace|1347
Jalan's Stonebark Necklace|1347
Jalan's Shrivewood Necklace|1347
Jalan's Spiritseed Necklace|1347
Skain's Bloodthorn Necklace|1350
Skain's Bladeleaf Necklace|1350
Skain's Frostroot Necklace|1350
Skain's Stormleaf Necklace|1350
Skain's Ironroot Necklace|1350
Skain's Stonebark Necklace|1350
Skain's Shrivewood Necklace|1350
Skain's Spiritseed Necklace|1350
Mallach's Bloodthorn Charm|1342
Mallach's Bladeleaf Charm|1342
Mallach's Frostroot Charm|1342
Mallach's Stormleaf Charm|1342
Mallach's Ironroot Charm|1342
Mallach's Stonebark Charm|1342
Mallach's Shrivewood Charm|1342
Mallach's Spiritseed Charm|1342
Cronach's Bloodthorn Charm|1345
Cronach's Bladeleaf Charm|1345
Cronach's Frostroot Charm|1345
Cronach's Stormleaf Charm|1345
Cronach's Ironroot Charm|1345
Cronach's Stonebark Charm|1345
Cronach's Shrivewood Charm|1345
Cronach's Spiritseed Charm|1345
Jalan's Bloodthorn Charm|1348
Jalan's Bladeleaf Charm|1348
Jalan's Frostroot Charm|1348
Jalan's Stormleaf Charm|1348
Jalan's Ironroot Charm|1348
Jalan's Stonebark Charm|1348
Jalan's Shrivewood Charm|1348
Jalan's Spiritseed Charm|1348
Skain's Bloodthorn Charm|1351
Skain's Bladeleaf Charm|1351
Skain's Frostroot Charm|1351
Skain's Stormleaf Charm|1351
Skain's Ironroot Charm|1351
Skain's Stonebark Charm|1351
Skain's Shrivewood Charm|1351
Skain's Spiritseed Charm|1351
Mallach's Bloodthorn Ring|1343
Mallach's Bladeleaf Ring|1343
Mallach's Frostroot Ring|1343
Mallach's Stormleaf Ring|1343
Mallach's Ironroot Ring|1343
Mallach's Stonebark Ring|1343
Mallach's Shrivewood Ring|1343
Mallach's Spiritseed Ring|1343
Cronach's Bloodthorn Ring|1346
Cronach's Bladeleaf Ring|1346
Cronach's Frostroot Ring|1346
Cronach's Stormleaf Ring|1346
Cronach's Ironroot Ring|1346
Cronach's Stonebark Ring|1346
Cronach's Shrivewood Ring|1346
Cronach's Spiritseed Ring|1346
Jalan's Bloodthorn Ring|1349
Jalan's Bladeleaf Ring|1349
Jalan's Frostroot Ring|1349
Jalan's Stormleaf Ring|1349
Jalan's Ironroot Ring|1349
Jalan's Stonebark Ring|1349
Jalan's Shrivewood Ring|1349
Jalan's Spiritseed Ring|1349
Skain's Bloodthorn Ring|1352
Skain's Bladeleaf Ring|1352
Skain's Frostroot Ring|1352
Skain's Stormleaf Ring|1352
Skain's Ironroot Ring|1352
Skain's Stonebark Ring|1352
Skain's Shrivewood Ring|1352
Skain's Spiritseed Ring|1352
Gleaming Flute|1293~1294
Brilliant Flute|1293~1294
Lustrous Flute|1293~1294
Radiant Flute|1293~1294
Resplendent Flute|1293~1294
Gleaming Lute|1293~1294
Brilliant Lute|1293~1294
Lustrous Lute|1293~1294
Radiant Lute|1293~1294
Resplendent Lute|1293~1294
Gleaming Bagpipes|1310~1869
Brilliant Bagpipes|1310~1869
Lustrous Bagpipes|1310~1869
Radiant Bagpipes|1310~1869
Resplendent Bagpipes|1310~1869
Gleaming Drum|1310~1869
Brilliant Drum|1310~1869
Lustrous Drum|1310~1869
Radiant Drum|1310~1869
Resplendent Drum|1310~1869
Sage's Beltane Flute|1292~1339
Sage's Beltane Lute|1292~1339
Sage's Beltane Bagpipes|1292~1339
Sage's Beltane Drum|1292~1339
Worn Antique Coin|1292~1293~1297~1497
Tarnished Antique Coin|1292~1293~1297~1497
Imperfect Antique Coin|1292~1293~1294~1297~1300~1497~1498
Ordinary Antique Coin|1292~1293~1294~1297~1300~1497~1498
Unusual Antique Coin|1292~1293~1294~1297~1300~1497~1498
Valuable Antique Coin|1292~1293~1294~1297~1300~1497~1498
Precious Antique Coin|1292~1293~1294~1297~1300~1497~1498
Priceless Antique Coin|1292~1293~1294~1297~1300~1497~1498
Black Enchanted Armour Charm|1310~1869
Blue Enchanted Armour Charm|1310~1869
White Enchanted Armour Charm|1310~1869
Ethereal Purple Enchanted Armour Charm |1310~1869
Blazing Yellow Enchanted Armour Charm |1310~1869
Blazing Red Enchanted Armour Charm |1310~1869
Red Cosmic Wizard Charm|1310~1869
Blue Cosmic Wizard Charm|1310~1869
Black Cosmic Wizard Charm|1310~1869
Radiant Yellow Cosmic Wizard Charm|1310~1869
Radiant White Cosmic Wizard Charm|1310~1869
Radiant Black Cosmic Wizard Charm|1310~1869
Bloodcry Red Bounty Helm|1285
Bloodcry Pink Bounty Helm|1285
Bloodcry Orange Bounty Helm|1285
Bloodcry Yellow Bounty Helm|1285
Bloodcry Green Bounty Helm|1285
Bloodcry Turquoise Bounty Helm|1285
Bloodcry Blue Bounty Helm|1285
Bloodcry Purple Bounty Helm|1285
Bloodcry Black Bounty Helm|1285
Bloodcry White Bounty Helm|1285
Minor Spirit Glider|1293~1294~1339
Lesser Spirit Glider|1293~1294
Great Spirit Glider|1293~1294
Minor Spirit Cape|1293~1294
Lesser Spirit Cape|1293~1294
Great Spirit Cape|1293~1294
Skyglass Amulet of Sunlight|1735~1739
Skyglass Amulet of Moonlight|1735~1739
Skyglass Amulet of Starlight|1735~1739
Skyglass Amulet of Twilight|1735~1739
Skyprism Amulet of Sunlight|1735~1739
Skyprism Amulet of Moonlight|1735~1739
Skyprism Amulet of Starlight|1735~1739
Skyprism Amulet of Twilight|1735~1739
Skyglass Bracelet of Radiance|1735~1738
Skyglass Bracelet of Splendor|1735~1738
Skyglass Bracelet of Glory|1735~1738
Skyglass Bracelet of Ascension|1735~1738
Skyprism Bracelet of Radiance|1735~1738
Skyprism Bracelet of Splendor|1735~1738
Skyprism Bracelet of Glory|1735~1738
Skyprism Bracelet of Ascension|1735~1738
Skyglass Ring of the Zenith|1735~1737
Skyglass Ring of the Meridian|1735~1737
Skyprism Ring of the Zenith|1735~1737
Skyprism Ring of the Meridian|1735~1737
Sage's Bay Stallion|1310~1869
Sage's Black Stallion|1310~1869
Sage's White Stallion|1310~1869
Bounty Pledge Set|1308~1309~1456~1457~1481~1482~1586~1589~1749~1848~1868~1873~1885~1935~1978~2016~2029~2035~2058~2069~2073
Sage's Bay Pony|1292~1293~1294
Sage's Black Pony|1293~1294
Sage's White Pony|1293~1294
Despair Scroll|1356
Infernal Scroll|1357
Alchemical Scroll|1358
Summoning Scroll|1359
Forbidden Scroll|1360
Sage's Bay Colt|1310~1869
Sage's Black Colt|1310~1869
Sage's White Colt|1310~1869
Bag of 20,000 Gold|1282~1285~1286~1309~1457~1482~1586~1589~1749~1848~1868~1873~1885~1935~1937~1978~2016~2029~2035~2058~2069~2073
Bag of 50,000 Gold|1282~1285~1286~1937
Red Nithsteed Guise|1409
Pink Nithsteed Guise|1410
Orange Nithsteed Guise|1411
Yellow Nithsteed Guise|1412
Green Nithsteed Guise|1413
Turquoise Nithsteed Guise|1414
Blue Nithsteed Guise|1415
Purple Nithsteed Guise|1416
Black Nithsteed Guise|1417
White Nithsteed Guise|1418
Spirited Red Nithsteed Guise|1409
Spirited Pink Nithsteed Guise|1410
Spirited Orange Nithsteed Guise|1411
Spirited Yellow Nithsteed Guise|1412
Spirited Green Nithsteed Guise|1413
Spirited Turquoise Nithsteed Guise|1414
Spirited Blue Nithsteed Guise|1415
Spirited Purple Nithsteed Guise|1416
Spirited Black Nithsteed Guise|1417
Spirited White Nithsteed Guise|1418
Spirited Teal Nithsteed Guise|1297~1300
Spirited Mauve Nithsteed Guise|1297~1300
Red Dark Rider Gloves|1458~1869
Pink Dark Rider Gloves|1458~1869
Orange Dark Rider Gloves|1458~1869
Yellow Dark Rider Gloves|1458~1869
Green Dark Rider Gloves|1458~1869
Turquoise Dark Rider Gloves|1458~1869
Blue Dark Rider Gloves|1458~1869
Purple Dark Rider Gloves|1458~1869
Black Dark Rider Gloves|1458~1869
White Dark Rider Gloves|1458~1869
Red Dark Rider Leggings|1458~1869
Pink Dark Rider Leggings|1458~1869
Orange Dark Rider Leggings|1458~1869
Yellow Dark Rider Leggings|1458~1869
Green Dark Rider Leggings|1458~1869
Turquoise Dark Rider Leggings|1458~1869
Blue Dark Rider Leggings|1458~1869
Purple Dark Rider Leggings|1458~1869
Black Dark Rider Leggings|1458~1869
White Dark Rider Leggings|1458~1869
Red Dark Rider Boots|1458~1869
Pink Dark Rider Boots|1458~1869
Orange Dark Rider Boots|1458~1869
Yellow Dark Rider Boots|1458~1869
Green Dark Rider Boots|1458~1869
Turquoise Dark Rider Boots|1458~1869
Blue Dark Rider Boots|1458~1869
Purple Dark Rider Boots|1458~1869
Black Dark Rider Boots|1458~1869
White Dark Rider Boots|1458~1869
Red Dark Rider Tunic|1458~1869
Pink Dark Rider Tunic|1458~1869
Orange Dark Rider Tunic|1458~1869
Yellow Dark Rider Tunic|1458~1869
Green Dark Rider Tunic|1458~1869
Turquoise Dark Rider Tunic|1458~1869
Blue Dark Rider Tunic|1458~1869
Purple Dark Rider Tunic|1458~1869
Black Dark Rider Tunic|1458~1869
White Dark Rider Tunic|1458~1869
Red Dark Rider Hat|1458~1869
Pink Dark Rider Hat|1458~1869
Orange Dark Rider Hat|1458~1869
Yellow Dark Rider Hat|1458~1869
Green Dark Rider Hat|1458~1869
Turquoise Dark Rider Hat|1458~1869
Blue Dark Rider Hat|1458~1869
Purple Dark Rider Hat|1458~1869
Black Dark Rider Hat|1458~1869
White Dark Rider Hat|1458~1869
Blooddust Red Dark Rider Gloves|1458~1869
Blooddust Pink Dark Rider Gloves|1458~1869
Blooddust Orange Dark Rider Gloves|1458~1869
Blooddust Yellow Dark Rider Gloves|1458~1869
Blooddust Green Dark Rider Gloves|1458~1869
Blooddust Turquoise Dark Rider Gloves|1458~1869
Blooddust Blue Dark Rider Gloves|1458~1869
Blooddust Purple Dark Rider Gloves|1458~1869
Blooddust Black Dark Rider Gloves|1458~1869
Blooddust White Dark Rider Gloves|1458~1869
Blooddust Red Dark Rider Leggings|1458~1869
Blooddust Pink Dark Rider Leggings|1458~1869
Blooddust Orange Dark Rider Leggings|1458~1869
Blooddust Yellow Dark Rider Leggings|1458~1869
Blooddust Green Dark Rider Leggings|1458~1869
Blooddust Turquoise Dark Rider Leggings|1458~1869
Blooddust Blue Dark Rider Leggings|1458~1869
Blooddust Purple Dark Rider Leggings|1458~1869
Blooddust Black Dark Rider Leggings|1458~1869
Blooddust White Dark Rider Leggings|1458~1869
Blooddust Red Dark Rider Boots|1458~1869
Blooddust Pink Dark Rider Boots|1458~1869
Blooddust Orange Dark Rider Boots|1458~1869
Blooddust Yellow Dark Rider Boots|1458~1869
Blooddust Green Dark Rider Boots|1458~1869
Blooddust Turquoise Dark Rider Boots|1458~1869
Blooddust Blue Dark Rider Boots|1458~1869
Blooddust Purple Dark Rider Boots|1458~1869
Blooddust Black Dark Rider Boots|1458~1869
Blooddust White Dark Rider Boots|1458~1869
Blooddust Red Dark Rider Tunic|1458~1869
Blooddust Pink Dark Rider Tunic|1458~1869
Blooddust Orange Dark Rider Tunic|1458~1869
Blooddust Yellow Dark Rider Tunic|1458~1869
Blooddust Green Dark Rider Tunic|1458~1869
Blooddust Turquoise Dark Rider Tunic|1458~1869
Blooddust Blue Dark Rider Tunic|1458~1869
Blooddust Purple Dark Rider Tunic|1458~1869
Blooddust Black Dark Rider Tunic|1458~1869
Blooddust White Dark Rider Tunic|1458~1869
Blooddust Red Dark Rider Hat|1458~1869
Blooddust Pink Dark Rider Hat|1458~1869
Blooddust Orange Dark Rider Hat|1458~1869
Blooddust Yellow Dark Rider Hat|1458~1869
Blooddust Green Dark Rider Hat|1458~1869
Blooddust Turquoise Dark Rider Hat|1458~1869
Blooddust Blue Dark Rider Hat|1458~1869
Blooddust Purple Dark Rider Hat|1458~1869
Blooddust Black Dark Rider Hat|1458~1869
Blooddust White Dark Rider Hat|1458~1869
Tears of Dread|1361
Scheming Lenses|1362
Corrupted Eyeballs|1363
Nexus Tears |1364
Nexus Lenses|1365
Nexus Eyeballs|1366
Yellow Powder|2097~2098~1444
Green Powder|2100~2101~2102~1445
Purple Powder|2100~2101~2102~1447
Grey Powder|2097~2098~2099
Blue Powder|2097~2098~2099~1446
Black Powder|2100~2101~2102~1448
Minor Banshee Blade|1449
Lesser Banshee Blade|1449
Mystic Banshee Blade|1450
Greater Banshee Blade|1450
Grand Banshee Blade|1451
Mighty Banshee Blade|1451
Majestic Banshee Blade|1452
Royal Banshee Blade|1452
Imperial Banshee Blade|1453
Godly Banshee Blade|1453
Glistening Minor Banshee Blade|1449
Glistening Lesser Banshee Blade|1449
Glistening Mystic Banshee Blade|1450
Glistening Greater Banshee Blade|1450
Glistening Grand Banshee Blade|1451
Glistening Mighty Banshee Blade|1451
Glistening Majestic Banshee Blade|1452
Glistening Royal Banshee Blade|1452
Glistening Imperial Banshee Blade|1453
Glistening Godly Banshee Blade|1453
Tarnished Phantomblade|1297~1419~1420~1421~1422~1423
Base Phantomblade|1297~1419~1420~1421~1422~1423~1424
Standard Phantomblade|1297~1300~1419~1420~1421~1422~1423~1424~1425
Principal Phantomblade|1297~1300~1420~1421~1422~1423~1424~1425
Vital Phantomblade|1297~1300~1420~1421~1422~1423~1424~1425
Primary Phantomblade|1297~1300~1421~1422~1423~1424~1425
Crucial Phantomblade|1297~1300~1421~1422~1423~1424~1425
Essential Phantomblade|1297~1300~1421~1422~1423~1424~1425
Ethereal Phantomblade|1300~1422~1423~1424~1425
Celestial Phantomblade|1300~1422~1424~1425
Red Archfiend Guise|1458~1869
Pink Archfiend Guise|1458~1869
Orange Archfiend Guise|1458~1869
Yellow Archfiend Guise|1458~1869
Green Archfiend Guise|1458~1869
Turquoise Archfiend Guise|1458~1869
Blue Archfiend Guise|1458~1869
Purple Archfiend Guise|1458~1869
Black Archfiend Guise|1458~1869
White Archfiend Guise|1458~1869
Spirited Red Archfiend Guise|1458~1869
Spirited Pink Archfiend Guise|1458~1869
Spirited Orange Archfiend Guise|1458~1869
Spirited Yellow Archfiend Guise|1458~1869
Spirited Green Archfiend Guise|1458~1869
Spirited Turquoise Archfiend Guise|1458~1869
Spirited Blue Archfiend Guise|1458~1869
Spirited Purple Archfiend Guise|1458~1869
Spirited Black Archfiend Guise|1458~1869
Spirited White Archfiend Guise|1458~1869
Spirited Teal Archfiend Guise|1297~1300
Spirited Mauve Archfiend Guise|1297~1300
Red Duskcrow Guise|1458~1869
Pink Duskcrow Guise|1458~1869
Orange Duskcrow Guise|1458~1869
Yellow Duskcrow Guise|1458~1869
Green Duskcrow Guise|1458~1869
Turquoise Duskcrow Guise|1458~1869
Blue Duskcrow Guise|1458~1869
Purple Duskcrow Guise|1458~1869
Black Duskcrow Guise|1458~1869
White Duskcrow Guise|1458~1869
Spirited Red Duskcrow Guise|1458~1869
Spirited Pink Duskcrow Guise|1458~1869
Spirited Orange Duskcrow Guise|1458~1869
Spirited Yellow Duskcrow Guise|1458~1869
Spirited Green Duskcrow Guise|1458~1869
Spirited Turquoise Duskcrow Guise|1458~1869
Spirited Blue Duskcrow Guise|1458~1869
Spirited Purple Duskcrow Guise|1458~1869
Spirited Black Duskcrow Guise|1458~1869
Spirited White Duskcrow Guise|1458~1869
Spirited Teal Duskcrow Guise|1297~1300
Spirited Mauve Duskcrow Guise|1297~1300
Pet Token|1584~2104~2105~2106~2107~2108~2109~2110~2111~2112~2113~2114~2115~2116~2117~2118~2119~2120~2121~2122~2123~1587~1590~1665~1666~1667~1668~1669~1722~1723~1750~1849~1874~1886~1936~1979~2017~2030~2036~2059~2070~2074
Gelebron's Ruin|2103
Horrible Bones|1384
Terrible Bones|1385
Dreadful Bones|1386
Deathly Bones|1387
Bloodcult Bones|1388
Tattletales Bones|1389
Snitches Bones|1390
Squealers Bones|1391
Deceivers Bones|1392
Betrayers Bones|1393
Pagan Bones|1394
Dissenters Bones|1395
Recreant Bones|1396
Cutthroats Bones|1397
Deserters Bones|1398
Turncoats Bones|1399
Murderers Bones|1400
Treasonists Bones|1401
Cultists Bones|1402
Dark Priests Bones|1403
Apostate Bones|1404
Skeptics Bones|1405
Heretics Bones|1406
Necromancers Bones|1407
Crystal of Pure Symmetry|1408
Stone of the Anointed|1408
Nithsteed of Oblivion|1297~1300
Armoured Nithsteed of Oblivion|1297~1300
Shadowsteed of Oblivion|1458~1869
Ironclad Shadowsteed of Oblivion|1458~1869
Eldritchsteed of Oblivion|1458~1869
Steelclad Elritchsteed of Oblivion|1458~1869
Crowspine Skirr of Dreams|1297~1300
Crowspine Skirr of Haunting|1297~1300
Crowspine Skirr of Nightmares|1297~1300
Ancient Crowspine Skirr|1458~1869
Fabled Crowspine Skirr|1458~1869
Primal Crowspine Skirr|1458~1869
Legendary Crowspine Skirr|1458~1869
Mythic Crowspine Skirr|1458~1869
Archfiend Wings of Dreams|1297~1300
Archfiend Wings of Haunting|1297~1300
Archfiend Wings of Nightmares|1297~1300
Ancient Relic Archfiend Wings|1458~1869
Fabled Relic Archfiend Wings|1458~1869
Primal Relic Archfiend Wings|1458~1869
Legendary Relic Archfiend Wings|1458~1869
Mythic Relic Archfiend Wings|1458~1869
Bloodcold Cadaver Crow|1297~1300
Darksea Cadaver Crow|1458~2036~2048~2070
Magisters Cadaver Crow|1458~2036~2048~2070
Ascendant Cadaver Crow|1458~2036~2048~2070
Conflux of Legends|1429~1518~2049
Conflux of Folklore|1429~1518~2049
Conflux of Mythos|1429~1518~2049
Conflux of Fables|1429~1518~2049
Conflux of Sagas|1429~1518~2049
Mighty Aetheric Ring of Pummel|1426
Mighty Aetheric Ring of Giant Swing|1426
Mighty Aetheric Ring of Rupture|1426
Mighty Aetheric Ring of Assassinate|1426
Mighty Aetheric Ring of Sneaky Attack|1426
Mighty Aetheric Ring of Quick Strike|1426
Mighty Aetheric Ring of Sharp Shot|1426
Mighty Aetheric Ring of Longshot|1426
Mighty Aetheric Ring of Light Heal|1426
Mighty Aetheric Ring of Lightning Strike|1426
Mighty Aetheric Ring of Storm Touch|1426
Mighty Aetheric Ring of Natures Touch|1426
