1~Alwyn the Druid~0~0~Friendly~0~200~0~0~0~0~0~0.3~0,5~0,5;1,5;2,5~0~1~0~0~0~~0
100030~DO NOT USE~6~40~Hostile~120~95040~60 - 122~1195~480~2850~23760~1~2,596~0,480;1,480;2,480;3,480;4,480;5,480;7,Immune~5~1~0~0~9920~0,1200;1,1200;2,1200;3,1200;4,1200;5,1200~0
100031~Witchfinder Maynard~0~25~Passive~50~22080~25 - 52~495~200~2780~5520~0.3~2,201~0,200;1,200;2,200;3,200;4,200;5,200;7,Immune~5~1~0~0~4320~0,500;1,500;2,500;3,500;4,500;5,500~0
100032~Witchfinder Conrad~0~25~Passive~100~67200~50 - 102~995~400~2830~16800~0.3~2,470~0,400;1,400;2,400;3,400;4,400;5,400;7,Immune~5~1~0~0~8320~0,1000;1,1000;2,1000;3,1000;4,1000;5,1000~0
100033~Witchfinder Isembard~0~25~Passive~150~147600~75 - 152~1495~600~2880~36900~0.3~2,806~0,600;1,600;2,600;3,600;4,600;5,600;7,Immune~5~1~0~0~12320~0,1500;1,1500;2,1500;3,1500;4,1500;5,1500~0
100034~Yaltag~6~25~Hostile~40~49920~40 - 82~395~180~2770~12480~1.8~2,324~0,180;1,180;2,180;3,180;4,180;5,180~6~4.2~0~0~4693~0,600;1,600;2,600;3,600;4,600;5,600~0
100035~Scithan~6~25~Hostile~90~224640~90 - 182~895~405~2820~56160~1.8~2,836~0,405;1,405;2,405;3,405;4,405;5,405~6~4.2~0~0~10027~0,1350;1,1350;2,1350;3,1350;4,1350;5,1350~0
100036~Anmoch~6~25~Hostile~140~587238~140 - 282~1395~630~2870~146832~1.8~2,1474~0,630;1,630;2,630;3,630;4,630;5,630~6~4.2~0~0~15360~0,2100;1,2100;2,2100;3,2100;4,2100;5,2100~0
100037~Esmerelda Nightshade~0~25~Passive~30~31680~30 - 62~295~135~2760~7920~0.3~2,236~0,135;1,135;2,135;3,135;4,135;5,135~6~1~0~0~3627~0,450;1,450;2,450;3,450;4,450;5,450~0
100038~Elvira Hexmoon~0~25~Passive~80~176640~80 - 162~795~360~2810~44160~0.3~2,724~0,360;1,360;2,360;3,360;4,360;5,360~6~1~0~0~8960~0,1200;1,1200;2,1200;3,1200;4,1200;5,1200~0
100039~Granny Badbones~0~25~Passive~130~449280~130 - 262~1295~585~2860~112320~0.3~2,1336~0,585;1,585;2,585;3,585;4,585;5,585~6~1~0~0~14293~0,1950;1,1950;2,1950;3,1950;4,1950;5,1950~0
100040~Gravebane~0~25~Passive~60~103680~60 - 122~595~270~2790~25920~0.3~2,514~0,270;1,270;2,270;3,270;4,270;5,270~6~1~0~0~6827~0,900;1,900;2,900;3,900;4,900;5,900~0
100041~Gloomweaver~0~25~Passive~110~327360~110 - 222~1095~495~2840~81840~0.3~2,1076~0,495;1,495;2,495;3,495;4,495;5,495~6~1~0~0~12160~0,1650;1,1650;2,1650;3,1650;4,1650;5,1650~0
100042~Doomshade~0~25~Passive~160~660480~160 - 322~1595~720~2890~165120~0.3~2,1764~0,720;1,720;2,720;3,720;4,720;5,720~6~1~0~0~17493~0,2400;1,2400;2,2400;3,2400;4,2400;5,2400~0
100043~Witchfinder Cornelius~0~25~Passive~50~88320~50 - 102~495~225~2780~22080~0.3~2,416~0,225;1,225;2,225;3,225;4,225;5,225~6~1~0~0~5760~0,750;1,750;2,750;3,750;4,750;5,750~0
100044~Witchfinder Tancred~0~25~Passive~100~309120~100 - 202~995~450~2830~77280~0.3~2,954~0,450;1,450;2,450;3,450;4,450;5,450~6~1~0~0~11093~0,1500;1,1500;2,1500;3,1500;4,1500;5,1500~0
100045~Witchfinder General Hopkins~0~25~Passive~150~678960~150 - 302~1495~675~2880~169740~0.3~2,1616~0,675;1,675;2,675;3,675;4,675;5,675~6~1~0~0~16427~0,2250;1,2250;2,2250;3,2250;4,2250;5,2250~0
100046~Skullcrusher Skewerpoint~7~30~Hostile~20~217~3 - 6~195~46~2800~0~0.3~0,25~0,40;1,40;2,40;3,42;4,42;5,38~2~1~0~0~528~0,50;1,50;2,50;3,50;4,50;5,50~0
100047~Connacht Skewerpoint~6~20~Hostile~50~982~8 - 12~495~100~3240~0~0.3~0,106~0,100;1,100;2,100;3,105;4,105;5,95~2~1~0~0~1440~0,125;1,125;2,125;3,125;4,125;5,125~0
100048~Bloodgrove Skewerpoint~9~40~Hostile~75~2096~13 - 17~745~150~2700~0~0.3~0,115~0,150;1,150;2,150;3,158;4,158;5,142~2~2~0~0~2107~0,337;1,337;2,337;3,337;4,337~0
100049~Hawkhurst Skewerpoint~8~25~Hostile~90~4877~11 - 25~895~180~2820~1418~0.3~0,219~0,180;1,180;2,180;3,189;4,189;5,170~2~2~0~0~2507~0,405;1,405;2,405;3,405;4,405;5,405~0
100050~Darksea Skewerpoint~8~25~Hostile~85~2214~11 - 23~845~170~2815~1275~0.3~0,198~0,170;1,170;2,170;3,179;4,179;5,161~2~2~0~0~2373~0,382;1,382;2,382;3,382;4,382;5,382~0
100051~Blackstone Skewerpoint~10~40~Hostile~125~8514~21 - 27~1556~375~2300~2625~0.3~0,332~0,281;1,281;2,281;3,263;4,263;5,237~2~2~0~17~3440~0,531;1,531;2,531;3,531;4,531;5,531~0
100052~Dragoncult Skewerpoint~14~40~Hostile~140~11197~23 - 30~1395~280~2870~3255~0.3~0,393~0,280;1,280;2,280;3,294;4,294;5,265~2~2~0~10~3840~0,630;1,630;2,630;3,630;4,630;5,630~0
100053~Risen Infantry~8~30~Hostile~180~6912~11 - 25~1795~360~2910~4320~0.3~2,294~0,360;1,360;2,360;3,360;4,360;5,324;7,Immune~1~2~0~0~3680~0,225;1,225;2,225;3,225;4,225;5,225~0
100054~Risen Infantry~8~30~Hostile~181~6950~11 - 25~1805~362~2911~4344~0.3~2,295~0,362;1,362;2,362;3,362;4,362;5,326;7,Immune~1~2~0~0~3700~0,226;1,226;2,226;3,226;4,226;5,226~0
100055~Risen Infantry~8~30~Hostile~182~7134~11 - 25~1815~364~2912~4459~0.3~2,297~0,364;1,364;2,364;3,364;4,364;5,328;7,Immune~1~2~0~0~3720~0,228;1,228;2,228;3,228;4,228;5,228~0
100056~Risen Infantry~8~30~Hostile~183~7174~11 - 25~1825~366~2913~4484~0.3~2,299~0,366;1,366;2,366;3,366;4,366;5,329;7,Immune~1~2~0~0~3740~0,229;1,229;2,229;3,229;4,229;5,229~0
100057~Risen Infantry~8~30~Hostile~184~7213~12 - 25~1835~368~2914~4508~0.3~2,300~0,368;1,368;2,368;3,368;4,368;5,331;7,Immune~1~2~0~0~3760~0,230;1,230;2,230;3,230;4,230;5,230~0
100058~Risen Infantry~8~30~Hostile~185~7252~12 - 25~1845~370~2915~4533~0.3~2,302~0,370;1,370;2,370;3,370;4,370;5,333;7,Immune~1~2~0~0~3780~0,231;1,231;2,231;3,231;4,231;5,231~0
100059~Risen Infantry~8~30~Hostile~186~7440~12 - 25~1855~372~2916~4650~0.3~2,304~0,372;1,372;2,372;3,372;4,372;5,335;7,Immune~1~2~0~0~3800~0,233;1,233;2,233;3,233;4,233;5,233~0
100060~Risen Infantry~8~30~Hostile~187~7480~12 - 25~1865~374~2917~4675~0.3~2,305~0,374;1,374;2,374;3,374;4,374;5,337;7,Immune~1~2~0~0~3820~0,234;1,234;2,234;3,234;4,234;5,234~0
100061~Risen Infantry~8~30~Hostile~188~7520~12 - 26~1875~376~2918~4700~0.3~2,307~0,376;1,376;2,376;3,376;4,376;5,338;7,Immune~1~2~0~0~3840~0,235;1,235;2,235;3,235;4,235;5,235~0
100062~Risen Infantry~8~30~Hostile~189~7560~12 - 26~1885~378~2919~4725~0.3~2,308~0,378;1,378;2,378;3,378;4,378;5,340;7,Immune~1~2~0~0~3860~0,236;1,236;2,236;3,236;4,236;5,236~0
100063~Risen Archer~8~30~Hostile~180~9677~23 - 47~1795~360~2910~6048~0.3~2,406~0,360;1,360;2,360;3,450;4,450;5,405;7,Immune~2~12~10~0~4907~0,450;1,450;2,450;3,450;4,450;5,450~0
100064~Risen Archer~8~30~Hostile~181~9730~23 - 47~1805~362~2911~6082~0.3~2,409~0,362;1,362;2,362;3,453;4,453;5,408;7,Immune~2~12~10~0~4933~0,453;1,453;2,453;3,453;4,453;5,453~0
100065~Risen Archer~8~30~Hostile~182~9988~23 - 48~1815~364~2912~6243~0.3~2,411~0,364;1,364;2,364;3,455;4,455;5,410;7,Immune~2~12~10~0~4960~0,455;1,455;2,455;3,455;4,455;5,455~0
100066~Risen Archer~8~30~Hostile~183~10043~23 - 48~1825~366~2913~6277~0.3~2,413~0,366;1,366;2,366;3,458;4,458;5,412;7,Immune~2~12~10~0~4987~0,458;1,458;2,458;3,458;4,458;5,458~0
100067~Risen Archer~8~30~Hostile~184~10098~23 - 48~1835~368~2914~6311~0.3~2,415~0,368;1,368;2,368;3,460;4,460;5,414;7,Immune~2~12~10~0~5013~0,460;1,460;2,460;3,460;4,460;5,460~0
100068~Risen Archer~8~30~Hostile~185~10153~23 - 48~1845~370~2915~6346~0.3~2,418~0,370;1,370;2,370;3,463;4,463;5,417;7,Immune~2~12~10~0~5040~0,463;1,463;2,463;3,463;4,463;5,463~0
100069~Risen Archer~8~30~Hostile~186~10416~23 - 49~1855~372~2916~6510~0.3~2,420~0,372;1,372;2,372;3,465;4,465;5,419;7,Immune~2~12~10~0~5067~0,465;1,465;2,465;3,465;4,465;5,465~0
100070~Risen Archer~8~30~Hostile~187~10472~23 - 49~1865~374~2917~6545~0.3~2,422~0,374;1,374;2,374;3,468;4,468;5,421;7,Immune~2~12~10~0~5093~0,468;1,468;2,468;3,468;4,468;5,468~0
100071~Risen Archer~8~30~Hostile~188~10528~24 - 49~1875~376~2918~6580~0.3~2,424~0,376;1,376;2,376;3,470;4,470;5,423;7,Immune~2~12~10~0~5120~0,470;1,470;2,470;3,470;4,470;5,470~0
100072~Risen Archer~8~30~Hostile~189~10584~24 - 49~1885~378~2919~6615~0.3~2,427~0,378;1,378;2,378;3,473;4,473;5,426;7,Immune~2~12~10~0~5147~0,473;1,473;2,473;3,473;4,473;5,473~0
100073~Risen Mauler~8~30~Hostile~180~17280~35 - 71~1795~360~2910~8640~0.3~2,575~0,360;1,360;2,360;3,540;4,540;5,486;7,Immune~3~2~0~0~8832~0,900;1,900;2,900;3,900;4,900;5,900~0
100074~Risen Mauler~8~30~Hostile~181~17376~35 - 71~1805~362~2911~8688~0.3~2,578~0,362;1,362;2,362;3,543;4,543;5,489;7,Immune~3~2~0~0~8880~0,905;1,905;2,905;3,905;4,905;5,905~0
100075~Risen Mauler~8~30~Hostile~182~17836~35 - 72~1815~364~2912~8918~0.3~2,582~0,364;1,364;2,364;3,546;4,546;5,491;7,Immune~3~2~0~0~8928~0,910;1,910;2,910;3,910;4,910;5,910~0
100076~Risen Mauler~8~30~Hostile~183~17934~36 - 72~1825~366~2913~8967~0.3~2,585~0,366;1,366;2,366;3,549;4,549;5,494;7,Immune~3~2~0~0~8976~0,915;1,915;2,915;3,915;4,915;5,915~0
100077~Risen Mauler~8~30~Hostile~184~18032~36 - 72~1835~368~2914~9016~0.3~2,588~0,368;1,368;2,368;3,552;4,552;5,497;7,Immune~3~2~0~0~9024~0,920;1,920;2,920;3,920;4,920;5,920~0
100078~Risen Mauler~8~30~Hostile~185~18130~36 - 74~1845~370~2915~9065~0.3~2,591~0,370;1,370;2,370;3,555;4,555;5,500;7,Immune~3~2~0~0~9072~0,925;1,925;2,925;3,925;4,925;5,925~0
100079~Risen Mauler~8~30~Hostile~186~18600~36 - 74~1855~372~2916~9300~0.3~2,595~0,372;1,372;2,372;3,558;4,558;5,502;7,Immune~3~2~0~0~9120~0,930;1,930;2,930;3,930;4,930;5,930~0
100080~Risen Mauler~8~30~Hostile~187~18700~36 - 74~1865~374~2917~9350~0.3~2,598~0,374;1,374;2,374;3,561;4,561;5,505;7,Immune~3~2~0~0~9168~0,935;1,935;2,935;3,935;4,935;5,935~0
100081~Risen Mauler~8~30~Hostile~188~18800~36 - 75~1875~376~2918~9400~0.3~2,601~0,376;1,376;2,376;3,564;4,564;5,508;7,Immune~3~2~0~0~9216~0,940;1,940;2,940;3,940;4,940;5,940~0
100082~Risen Mauler~8~30~Hostile~189~18900~37 - 75~1885~378~2919~9450~0.3~2,604~0,378;1,378;2,378;3,567;4,567;5,510;7,Immune~3~2~0~0~9264~0,945;1,945;2,945;3,945;4,945;5,945~0
100083~Risen Executioner~8~30~Hostile~180~25920~56 - 115~1795~360~2910~12960~0.3~2,857~0,360;1,360;2,360;3,630;4,630;5,630;7,Immune~4~2~0~0~11776~0,1350;1,1350;2,1350;3,1350;4,1350;5,1350~0
100084~Risen Executioner~8~30~Hostile~181~26064~56 - 116~1805~362~2911~13032~0.3~2,862~0,362;1,362;2,362;3,634;4,634;5,634;7,Immune~4~2~0~0~11840~0,1358;1,1358;2,1358;3,1358;4,1358;5,1358~0
100085~Risen Executioner~8~30~Hostile~182~26754~58 - 116~1815~364~2912~13377~0.3~2,867~0,364;1,364;2,364;3,637;4,637;5,637;7,Immune~4~2~0~0~11904~0,1365;1,1365;2,1365;3,1365;4,1365;5,1365~0
100086~Risen Executioner~8~30~Hostile~183~26901~58 - 118~1825~366~2913~13451~0.3~2,872~0,366;1,366;2,366;3,641;4,641;5,641;7,Immune~4~2~0~0~11968~0,1373;1,1373;2,1373;3,1373;4,1373;5,1373~0
100087~Risen Executioner~8~30~Hostile~184~27048~58 - 118~1835~368~2914~13524~0.3~2,876~0,368;1,368;2,368;3,644;4,644;5,644;7,Immune~4~2~0~0~12032~0,1380;1,1380;2,1380;3,1380;4,1380;5,1380~0
100088~Risen Executioner~8~30~Hostile~185~27195~58 - 119~1845~370~2915~13598~0.3~2,881~0,370;1,370;2,370;3,648;4,648;5,648;7,Immune~4~2~0~0~12096~0,1388;1,1388;2,1388;3,1388;4,1388;5,1388~0
100089~Risen Executioner~8~30~Hostile~186~27900~59 - 119~1855~372~2916~13950~0.3~2,886~0,372;1,372;2,372;3,651;4,651;5,651;7,Immune~4~2~0~0~12160~0,1395;1,1395;2,1395;3,1395;4,1395;5,1395~0
100090~Risen Executioner~8~30~Hostile~187~28050~59 - 120~1865~374~2917~14025~0.3~2,891~0,374;1,374;2,374;3,655;4,655;5,655;7,Immune~4~2~0~0~12224~0,1403;1,1403;2,1403;3,1403;4,1403;5,1403~0
100091~Risen Executioner~8~30~Hostile~188~28200~59 - 120~1875~376~2918~14100~0.3~2,895~0,376;1,376;2,376;3,658;4,658;5,658;7,Immune~4~2~0~0~12288~0,1410;1,1410;2,1410;3,1410;4,1410;5,1410~0
100092~Risen Executioner~8~30~Hostile~189~28350~59 - 121~1885~378~2919~14175~0.3~2,900~0,378;1,378;2,378;3,662;4,662;5,662;7,Immune~4~2~0~0~12352~0,1418;1,1418;2,1418;3,1418;4,1418;5,1418~0
100093~TEST Klurgrim the Acolyte~6~25~Hostile~190~200280~95 - 192~3790~1900~1500~58140~0.3~~0,1000;1,1000;2,1000~5~10~10~10~1552~~0
100094~TEST Fleurgrim the Acolyte~6~25~Hostile~190~200280~95 - 192~3790~1900~1500~58140~0.3~~0,1000;1,1000;2,1000~5~10~10~10~1552~~0
100095~Bound Spirit~6~30~Hostile~190~20000~0~3790~1200~750~14535~0.3~4,1000;8,600~0,720;1,720;2,720;3,720 + 99%;4,720 + 99%;5,720 + 99%;6,99%;8,Immune~4~1~0~18~0~0,1425;1,1425;2,1425;3,1425;4,1425;5,1425~0
100096~TEST Deepfire Huey~6~50~Hostile~210~80393~47 - 97~3000~1500~2000~46740~2~~~2~1~0~0~200~~0
100097~TEST Deepfire Duey~6~50~Hostile~210~100491~47 - 97~3000~1500~2000~46740~2~~~3~1~0~0~240~~0
100098~TEST Deepfire Louie~6~50~Hostile~210~80393~47 - 97~3000~1500~2000~46740~2~~~1~1~0~0~200~~0
100099~Winter2013 Stormwing TEST~5~20~Hostile~60~64800~60 - 122~1000~500~3000~21600~2.3~~0,120;1,120;2,120~6~2~0~0~6827~~20
100100~Winter2013 Ice Golem TEST~7~20~Hostile~55~29984~900 - 1800~2380~480~1500~1344~3~~0,480;1,480;2,480~6~3~0~10~6827~~20
100101~Winter2013 Polar Bear TEST~0~25~Passive~50~38400~50 - 102~495~100~1000~19200~4~~0,100;1,100;2,100~6~1~0~10~5760~~0
100102~Winter2013 Ice Wyvern TEST~0~25~Passive~125~408000~125 - 252~3735~1000~1000~102000~3.5~~0,1000;1,1000;2,1000~6~1~0~0~13760~~0
100103~Winter2013 Ice Spider TEST~0~25~Passive~125~408000~125 - 252~3735~1000~1000~102000~3.5~~0,1000;1,1000;2,1000~6~1~0~0~13760~~0
100104~Snowrend~0~25~Passive~40~12480~20 - 42~395~80~2770~6240~1.5~2,156~0,160;1,160;2,160;3,120;4,200;5,160;7,Immune~5~1.8~0~0~3520~0,400;1,400;2,400;3,400;4,400;5,400~0
100105~Stormfang~0~25~Passive~45~15120~23 - 47~445~90~2775~7560~1.5~2,176~0,180;1,180;2,180;3,135;4,225;5,180;7,Immune~5~1.8~0~0~3920~0,450;1,450;2,450;3,450;4,450;5,450~0
100106~Frosthowl~0~25~Passive~50~19200~25 - 52~495~100~2780~9600~1.5~2,201~0,200;1,200;2,200;3,150;4,250;5,200;7,Immune~5~1.8~0~0~4320~0,500;1,500;2,500;3,500;4,500;5,500~0
100107~Icescar~0~25~Passive~55~22440~28 - 57~545~110~2785~11220~1.5~2,221~0,220;1,220;2,220;3,165;4,275;5,220;7,Immune~5~1.8~0~0~4720~0,550;1,550;2,550;3,550;4,550;5,550~0
100108~Shatterclaw~0~25~Passive~60~25920~30 - 62~595~120~2790~12960~1.5~2,250~0,240;1,240;2,240;3,180;4,300;5,240;7,Immune~5~1.8~0~0~5120~0,600;1,600;2,600;3,600;4,600;5,600~0
100109~Frostbite Shalewyrm~0~25~Passive~100~67200~50 - 102~995~200~2830~33600~4.5~2,470~0,400;1,400;2,400;3,300;4,500;5,400;7,Immune~5~1~0~0~8320~0,1000;1,1000;2,1000;3,1000;4,1000;5,1000~0
100110~Icelake Shalewyrm~0~25~Passive~105~73080~53 - 107~1045~210~2835~36540~4.5~2,493~0,420;1,420;2,420;3,315;4,525;5,420;7,Immune~5~1~0~0~8720~0,1050;1,1050;2,1050;3,1050;4,1050;5,1050~0
100111~Tundra Shalewyrm~0~25~Passive~110~81840~55 - 112~1095~220~2840~40920~4.5~2,531~0,440;1,440;2,440;3,330;4,550;5,440;7,Immune~5~1~0~0~9120~0,1100;1,1100;2,1100;3,1100;4,1100;5,1100~0
100112~Winter Shalewyrm~0~25~Passive~115~88320~58 - 117~1145~230~2845~44160~4.5~2,556~0,460;1,460;2,460;3,345;4,575;5,460;7,Immune~5~1~0~0~9520~0,1150;1,1150;2,1150;3,1150;4,1150;5,1150~0
100113~Arctic Shalewyrm~0~25~Passive~120~95040~60 - 122~1195~240~2850~47520~4.5~2,596~0,480;1,480;2,480;3,360;4,600;5,480;7,Immune~5~1~0~0~9920~0,1200;1,1200;2,1200;3,1200;4,1200;5,1200~0
100114~Lesser Icestorm Wyvern~0~25~Passive~160~165120~80 - 162~1595~320~2890~82560~3.5~2,882~0,640;1,640;2,640;3,480;4,800;5,640;7,Immune~5~1~0~0~13120~0,1600;1,1600;2,1600;3,1600;4,1600;5,1600~0
100115~Greater Icestorm Wyvern~0~25~Passive~165~174240~83 - 167~1645~330~2895~87120~3.5~2,910~0,660;1,660;2,660;3,495;4,825;5,660;7,Immune~5~1~0~0~13520~0,1650;1,1650;2,1650;3,1650;4,1650;5,1650~0
100116~Grand Icestorm Wyvern~0~25~Passive~170~187680~85 - 172~1695~340~2900~93840~3.5~2,960~0,680;1,680;2,680;3,510;4,850;5,680;7,Immune~5~1~0~0~13920~0,1700;1,1700;2,1700;3,1700;4,1700;5,1700~0
100117~Elder Icestorm Wyvern~0~25~Passive~175~197400~88 - 177~1745~350~2905~98700~3.5~2,989~0,700;1,700;2,700;3,525;4,875;5,700;7,Immune~5~1~0~0~14320~0,1750;1,1750;2,1750;3,1750;4,1750;5,1750~0
100118~Ancient Icestorm Wyvern~0~25~Passive~180~207360~90 - 182~1795~360~2910~103680~3.5~2,1042~0,720;1,720;2,720;3,540;4,900;5,720;7,Immune~5~1~0~0~14720~0,1800;1,1800;2,1800;3,1800;4,1800;5,1800~0
100119~Sleetscale~0~25~Passive~70~141120~70 - 142~695~140~2800~70560~2.3~2,616~0,140;1,140;2,140;3,315;4,315;5,315;7,Immune~6~2~0~10~7893~0,1050;1,1050;2,1050;3,1050;4,1050;5,1050~20
100120~Coldfist~0~25~Passive~80~176640~80 - 162~795~160~2810~88320~3~2,724~0,160;1,160;2,160;3,360;4,360;5,360;7,Immune~6~3~0~10~8960~0,1200;1,1200;2,1200;3,1200;4,1200;5,1200~20
100121~Snowpaw~0~25~Passive~90~224640~90 - 182~895~180~2820~112320~4~2,836~0,180;1,180;2,180;3,405;4,405;5,405;7,Immune~6~1~0~10~10027~0,1350;1,1350;2,1350;3,1350;4,1350;5,1350~0
100122~Frostscale~0~25~Passive~130~449280~130 - 262~1295~260~2860~224640~2.3~2,1336~0,260;1,260;2,260;3,585;4,585;5,585;7,Immune~6~2~0~10~14293~0,1950;1,1950;2,1950;3,1950;4,1950;5,1950~20
100123~Frostfist~0~25~Passive~140~510720~140 - 282~1395~280~2870~255360~3~2,1474~0,280;1,280;2,280;3,630;4,630;5,630;7,Immune~6~3~0~10~15360~0,2100;1,2100;2,2100;3,2100;4,2100;5,2100~20
100124~Icepaw~0~25~Passive~150~590400~150 - 302~1495~300~2880~295200~4~2,1616~0,300;1,300;2,300;3,675;4,675;5,675;7,Immune~6~1~0~10~16427~0,2250;1,2250;2,2250;3,2250;4,2250;5,2250~0
100125~Shatterscale~0~25~Passive~70~17640~35 - 72~695~140~2800~8820~2.3~2,300~0,140;1,140;2,140;3,280;4,280;5,280;7,Immune~5~2~0~10~5920~0,700;1,700;2,700;3,700;4,700;5,700~20
100126~Hailfist~0~25~Passive~80~22080~40 - 82~795~160~2810~11040~3~2,354~0,160;1,160;2,160;3,320;4,320;5,320;7,Immune~5~3~0~10~6720~0,800;1,800;2,800;3,800;4,800;5,800~20
100127~Frosttooth~0~25~Passive~90~28080~45 - 92~895~180~2820~14040~4~2,410~0,180;1,180;2,180;3,360;4,360;5,360;7,Immune~5~1~0~10~7520~0,900;1,900;2,900;3,900;4,900;5,900~0
100128~Tundrascale~0~25~Passive~130~56160~65 - 132~1295~260~2860~28080~2.3~2,663~0,260;1,260;2,260;3,520;4,520;5,520;7,Immune~5~2~0~10~10720~0,1300;1,1300;2,1300;3,1300;4,1300;5,1300~20
100129~Stormfist~0~25~Passive~140~63840~70 - 142~1395~280~2870~31920~3~2,734~0,280;1,280;2,280;3,560;4,560;5,560;7,Immune~5~3~0~10~11520~0,1400;1,1400;2,1400;3,1400;4,1400;5,1400~20
100130~Shattertooth~0~25~Passive~150~73800~75 - 152~1495~300~2880~36900~4~2,806~0,300;1,300;2,300;3,600;4,600;5,600;7,Immune~5~1~0~10~12320~0,1500;1,1500;2,1500;3,1500;4,1500;5,1500~0
100131~Borom Blackbeard~0~20~Passive~2~38~0 - 3~15~2~2800~0~0.3~2,4~0,4;1,4;2,4;7,Immune~1~1~0~0~0~0,2;1,2;2,2;3,2;4,2~0
100132~Grotwart~3~30~Hostile~6~75~1 - 3~55~4~2800~0~0.3~2,7~0,12;1,12;2,12;3,12;4,12;5,11;7,Immune~1~1~0~0~0~0,5;1,5;2,5;3,5;4,5~0
100133~Erskine Skinfingers~3~30~Hostile~9~91~1 - 3~85~13~2800~0~0.3~0,10~0,18;1,18;2,18;3,18;4,18;5,16;7,Immune~1~1~0~0~0~0,9;1,9;2,9;3,9;4,9~0
100134~Anara Stitchblade~9~30~Hostile~12~108~1 - 4~115~22~2800~0~0.3~0,14~0,24;1,24;2,24;3,24;4,24;5,22;7,Immune~1~1~0~0~0~0,16;1,16;2,16;3,16;4,16~0
100135~Harald Hornscar~7~30~Hostile~16~129~2 - 4~155~34~2800~0~0.3~1,18~0,32;1,32;2,32;3,32;4,32;5,29;7,Immune~1~1~0~0~0~0,28;1,28;2,28;3,28;4,28~0
100136~Ugrun Greatfist~8~30~Hostile~18~244~4 - 6~205~49~3000~0~0.3~2,35~0,42;1,42;2,42;3,44;4,44;5,40;7,Immune~2~1~0~0~0~0,50;1,50;2,50;3,50;4,50~0
100137~Mephisto Calavax~7~30~Hostile~20~151~2 - 5~195~46~2800~0~0.3~2,24~0,40;1,40;2,40;3,40;4,40;5,36;7,Immune~1~1~0~0~0~0,43;1,43;2,43;3,43;4,43~0
100138~Cullen Darkdaggers~14~50~Hostile~14~113~1 - 4~125~26~2800~0~0.3~0,15~0,26;1,26;2,26;3,26;4,26;5,23;7,Immune~1~1~0~0~0~0,19;1,19;2,19;3,19;4,19~0
100139~Gloomgaze~0~25~Passive~25~2800~0~245~56~2000~1500~1.2~2,80~0,50;1,50;2,50;3,56;4,56;5,56;7,Immune~5~2~0~0~0~0,250;1,250;2,250;3,250;4,250;5,375~0
100140~Athach's Spawn~0~30~Passive~180~575000~90 - 182~4500~1800~1500~64584~5~2,1042;4,800~0,1440;1,1440;2,1440;3,360;4,2880;5,1440;6,360;7,Immune~5~1~0~10~14720~0,1800;1,1800;2,1800;3,1800;4,1800;5,1800~0
100141~Snowman~0~30~Passive~0~97~0~0~0~2800~0~0.3~~7,Immune~0~1~0~5~0~~0
100142~Deepfire Troll~6~25~Hostile~190~40605~60 - 121~1895~380~2920~14535~2~2,1250~0,380;1,380;2,380;3,737;4,737;5,737;7,Immune~4~1~0~10~12416~0,1318;1,1318;2,1318;3,1318;4,1318;5,1318~0
100143~Gembelly Troll~0~25~Passive~185~54390~58 - 119~1845~370~2915~11100~2~2,881~0,370;1,370;2,370;3,637;4,637;5,637;7,Immune~4~1~0~10~12096~0,1318;1,1318;2,1318;3,1318;4,1318;5,1318~0
100144~Gembelly Troll~0~25~Passive~190~58140~60 - 121~1895~380~2920~11685~2~2,928~0,380;1,380;2,380;3,737;4,737;5,737;7,Immune~4~1~0~10~12416~0,1445;1,1445;2,1445;3,1445;4,1445;5,1445~0
100145~Risen Hoarder~0~30~Passive~185~47730~4750 - 6063~1845~370~2915~13598~0.3~2,981~0,370;1,370;2,370;3,648;4,648;5,648~4~2~0~0~12096~0,1388;1,1388;2,1388;3,1388;4,1388;5,1388~0
100146~Risen Alchemist~0~30~Passive~185~47730~58 - 119~1845~370~2915~13598~0.3~2,981~0,370;1,370;2,370;3,648;4,648;5,648~4~2~0~0~12096~0,1388;1,1388;2,1388;3,1388;4,1388;5,1388~0
100147~Risen Scholar~0~30~Passive~185~47730~58 - 119~1845~370~2915~13598~0.3~2,981~0,370;1,370;2,370;3,648;4,648;5,648~4~12~10~0~120960~0,1388;1,1388;2,1388;3,1388;4,1388;5,1388~0
100148~Varney the Guard~0~0~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5~0~1~0~0~0~~0
100149~Connacht Prisoner~0~20~Friendly~0~100~0~0~0~0~0~0.3~~0,5;1,5;2,5~0~1~0~0~0~~0
100150~MacCroin Sharpshot~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5~0~1~0~0~0~~0
100151~MacCroin Spearbearer~0~0~Friendly~0~5~0~1~1~1~2~0.3~~0,5;1,5;2,5~0~1~0~0~0~~0
100152~Artisan Miner~0~0~Friendly~0~100~0~0~0~0~0~0.3~~~0~1~0~0~0~~0
100153~Field Mouse~0~0~Passive~0~1~0~1~0~2800~0~0~0,1~0,1;1,1;2,1;3,1;4,1;5,1;7,Immune~0~1~0~0~0~~0
